2023-07-25 21:19:47,703 root INFO <class 'type'>
2023-07-25 21:19:47,704 root INFO <class 'numpy.ndarray'>
2023-07-25 21:19:47,778 root INFO [1 2 3 4 5]
2023-07-26 10:28:07,499 matplotlib.pyplot DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2023-07-26 10:28:07,505 matplotlib.pyplot DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2023-07-26 10:28:07,519 matplotlib.font_manager DEBUG findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2023-07-26 10:28:09,898 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeuil.ttf', name='Segoe UI', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2023-07-26 10:28:09,899 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\BOD_BLAI.TTF', name='Bodoni MT', style='italic', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.525
2023-07-26 10:28:09,899 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeuiz.ttf', name='Segoe UI', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2023-07-26 10:28:09,899 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FTLTLT.TTF', name='Footlight MT Light', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2023-07-26 10:28:09,899 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\timesi.ttf', name='Times New Roman', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\vinet.ttf', name='Vineta BT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeui.ttf', name='Segoe UI', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\cityb___.ttf', name='CityBlueprint', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\gothici_.ttf', name='GothicI', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\greekc__.ttf', name='GreekC', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\himalaya.ttf', name='Microsoft Himalaya', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\verdana.ttf', name='Verdana', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 3.6863636363636365
2023-07-26 10:28:09,900 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\LBRITE.TTF', name='Lucida Bright', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-26 10:28:09,901 matplotlib.font_manager DEBUG findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\symusic_.ttf', name='Symusic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
